first_seen_date,last_seen_date,channel_id,title,url,subscriber_text,subscriber_count_estimate,video_count_text,source_queries,description,review_status
2026-05-10,2026-05-10,UCzKrJ5NSA9o7RHYRG12kHZw,Jeremy Fragrance,https://www.youtube.com/@jeremyfragrance,2.54M subscribers,2540000,,best fragrances; fragrance collection; fragrance review; men's fragrances; perfume brand review; perfume collection; perfume review; scent of the day perfume; unisex fragrance; women's perfume,The Number 1 Fragrance Icon That Follows The Teachings Of Jesus. BOOKING@Jeremyfragrance.com.,approved_creator_candidate
2026-05-10,2026-05-10,UCSU9CcO8hvayDPZSZcfTxDg,Andres Perfume-Man,https://www.youtube.com/@AndresPerfumeMan,2.45M subscribers,2450000,,perfume review,Andres Croxatto ,approved_creator_candidate
2026-05-10,2026-05-10,UCIH0E-zQ3-HzYDChlpafRsQ,Vanillamace,https://www.youtube.com/@Vanillamacee,1.67M subscribers,1670000,,vanilla perfume,vanillas vlogs & gaming clips!,reject_noise
2026-05-10,2026-05-10,UCxOjoraUPd0Dq9PAyIhC6tQ,Perfume,https://www.youtube.com/@Perfume,1.14M subscribers,1140000,,women's perfume,Perfume YouTube Official Channel.,reject_noise
2026-05-10,2026-05-10,UCaUv9lH-9-99jnMpmooafuQ,NAUTIQUE LUXURY ,https://www.youtube.com/@voyageperfumes,1.13M subscribers,1130000,,luxury perfume,"Nautique luxury perfume is your go-to YouTube channel for everything about perfumes and fragrances! Founded by [Your Name], ...",approved_creator_candidate
2026-05-10,2026-05-10,UC9IImcLkUdmURWtQhxu8VwQ,Gents Scents,https://www.youtube.com/@GentsScents,634K subscribers,634000,,best fragrances; fragrance collection; men's fragrances; scent of the day perfume; summer fragrances,Welcome to Gents Scents! Here you'll find fragrance lists and reviews to help you discover the best fragrances for any situation.,approved_creator_candidate
2026-05-10,2026-05-10,UCcwPIKNTMO5S-Vd7z-RrIhg,CurlyFragrance,https://www.youtube.com/@CurlyFragrance,574K subscribers,574000,,best fragrances; fragrance collection; fragrance dupes; fragrance review; men's fragrances; oud fragrance; perfume brand review; perfume collection; perfume haul; perfume review; summer fragrances; unisex fragrance; winter fragrances; women's perfume,"Buy my own fragrance https://ryziger.com/ Hi, my name is Michella. I'm that girl who oversprays fragrances #Teamoversprayers ...",approved_creator_candidate
2026-05-10,2026-05-10,UC0zYuwJf9-i3ROZ1F30gV4w,Robin James,https://www.youtube.com/@ManForHimself,511K subscribers,511000,,men's fragrances,"Men's grooming with unfiltered honesty! Hair tutorials, product reviews, skincare and fragrance.",approved_creator_candidate
2026-05-10,2026-05-10,UCPqWyyP8LhNaY-mD_RTtKrg,Christopher Lee Fragrances ,https://www.youtube.com/@ChristopherLeeFragrances,412K subscribers,412000,,best fragrances; fragrance review; summer fragrances,"Since 2023, Christopher Lee has redefined modern perfumery by placing fragrance at the intersection of culture, emotion, and ...",approved_creator_candidate
2026-05-10,2026-05-10,UCuSy0Z5UwvkMQ7lXRbUdOnQ,Redolessence,https://www.youtube.com/@Redolessence,405K subscribers,405000,,best fragrances; fragrance collection; fragrance review; perfume brand review; perfume collection; perfume haul; perfume review,Sharing my passion and hobby for fragrances with the world through my fragrance reviews / cologne reviews! Whether you're ...,approved_creator_candidate
