candidate_name,channel_id,title,handle,subscriber_count,video_count,recent_video_count_30d,recent_video_titles_sample,resolve_method,confidence,decision,reason,quality_tier,intake_batch
Jeremy Fragrance,UCzKrJ5NSA9o7RHYRG12kHZw,Jeremy Fragrance,@jeremyfragrance,2540000,726,15,Top 10 Fragrances For Men  #jeremyfragrance #fragr; KIWI TART. Ahuja. #jeremyfragrance #fragrance #cologne #perfume #parfum; Top 10 Fragrances For Men. #jeremyfragrance #fragrance #cologne #perfume #parfum,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCzKrJ5NSA9o7RHYRG12kHZw already in youtube_channels,tier_1,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Andres Perfume-Man,UCSU9CcO8hvayDPZSZcfTxDg,Andrés Perfume-Man,@andresperfumeman,2450000,368,4,"Light Blue EDP, Le Beau Narcisse e Invictus Elixir; Los 4 perfumes favoritos de Marc Vidal; Compré todos los perfumes Mercadona, elijo los mejores",channel_id_direct,high,VERIFIED_ADD_READY,4 video(s) in last 30 days (channel_id pre-validated),tier_1,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
NAUTIQUE LUXURY,UCaUv9lH-9-99jnMpmooafuQ,NAUTIQUE LUXURY ,@voyageperfumes,1130000,156,5,Dark chocolate Perfume | Smell the Sweetness of Luxury 🍫 #shorts #trending #nautiqueluxury; Sun silk Just Dropped a Fragrance Here’s What It Smells Like ✨ #trending #shorts #nautiqueluxury; Pink Dove 🌸 | Fragrance of Pure Luxury & Soft Touch ✨ #trending #shorts #nautiqueluxury #perfume,channel_id_direct,high,VERIFIED_ADD_READY,5 video(s) in last 30 days (channel_id pre-validated),tier_1,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Gents Scents,UC9IImcLkUdmURWtQhxu8VwQ,Gents Scents,@gentsscents,634000,3114,15,NEW Rasasi Hawas Thunder - Finally Another Great Hawas?; 25 MUST OWN Fragrances For The PERFECT Collection (2026 Edition); 10 BEST Clone Fragrances For Spring & Summer - Best Cheap Clone Fragrances,channel_id_direct,high,SKIP_DUPLICATE,channel_id UC9IImcLkUdmURWtQhxu8VwQ already in youtube_channels,tier_1,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
CurlyFragrance,UCcwPIKNTMO5S-Vd7z-RrIhg,CurlyFragrance,@curlyfragrance,574000,1463,15,15 Best Fragrance Clones; Top 5 Affordable Long Lasting Fragrances For Men; 3 New Khadlaj Fragrances,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCcwPIKNTMO5S-Vd7z-RrIhg already in youtube_channels,tier_1,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Robin James,UC0zYuwJf9-i3ROZ1F30gV4w,Robin James,@manforhimself,511000,1189,15,The fragrances men in London are wearing; The Smell of Quentin Bisch's Summer Holidays...; Montblanc Patchouli Ink Review,channel_id_direct,high,VERIFIED_ADD_READY,15 video(s) in last 30 days (channel_id pre-validated),tier_1,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Christopher Lee Fragrances,UCPqWyyP8LhNaY-mD_RTtKrg,Christopher Lee Fragrances ,@christopherleefragrances,412000,2790,15,I BROUGHT MY MOM INTO MY BUSINESS IN THE FLYEST WAY; IF YOUR A MAN AND YOU LOVE SMELLING GOOD CLICK THIS VIDEO; The Best Summer Fragrances,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCPqWyyP8LhNaY-mD_RTtKrg already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Redolessence,UCuSy0Z5UwvkMQ7lXRbUdOnQ,Redolessence,@redolessence,405000,4958,15,"Lattafa Ana Abiyedh Coral Perfume Review!; 5 Dupe Perfumes So Good, You Don't Need The Original!; Electimuss Cupid's Kiss Perfume Review!",channel_id_direct,high,SKIP_DUPLICATE,channel_id UCuSy0Z5UwvkMQ7lXRbUdOnQ already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Perfume Network,UC64osG3B8XviRGcgW2x2T6A,Perfume Network,@perfumenetwork,369000,273,4,What’s one fragrance you love on your partner? #shorts #perfume; Azzaro Most Wanted Parfum vs Azzaro Most Wanted Intense?; Comment down your most complimented fragrance #perfume #shorts #fragrance,channel_id_direct,high,VERIFIED_ADD_READY,4 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Demi Rawling,UC88iYYngvMLb_3obJKMCI3w,Demi Rawling,@demirawling,368000,648,0,,channel_id_direct,high,SKIP_DUPLICATE,channel_id UC88iYYngvMLb_3obJKMCI3w already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
The Perfume Guy,UCFarEEFsV90-pvUU0XdUdgQ,The Perfume Guy,@theperfumeguy,333000,3300,15,22 Niche Perfumes That Make the Best Mother's Day Gifts; Luxury Fragrance Deals Are INSANE Right Now (50-75% Off); 9 Lavender Perfumes BETTER Than You'd Expect,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCFarEEFsV90-pvUU0XdUdgQ already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
