candidate_name,channel_id,title,handle,subscriber_count,video_count,recent_video_count_30d,recent_video_titles_sample,resolve_method,confidence,decision,reason,quality_tier,intake_batch
Seldomly Often,UCJD-IFEolpowP9uKrugum3Q,Seldomly Often,@seldomlyoften,21800,375,11,Is Being Hard to Please Actually a Problem? - FragTalk ep.33; Frédéric Malle Contre-Jour - fragrance first impressions; Spiritica - fragrance speed dating,search,high,ADD,11 video(s) in last 30 days,tier_3,YT-CREATOR-EXPANSION-01
The Scented,UCHqrJNnjF_3yHfVDatKl-NA,The Scented,@thescented,126000,556,3,I quit sponsored content - these designer perfumes are my favorite; Don't Buy Byredo Gypsy Water Absolu; I Ranked New Sephora Perfumes…Some Deserve Jail 😬,handle,high,ADD,3 video(s) in last 30 days,tier_2,YT-CREATOR-EXPANSION-01
Clémence CC Fragrance,UC4wA39spXkw9EdQFBhbbkvQ,Clémence. cc,@clemencecc,1,0,0,,handle,high,SKIP_INACTIVE_30D,No videos published in last 30 days,tier_4,YT-CREATOR-EXPANSION-01
The Niche Fragrance Collector,UCOHMCV58yR2Wr_BfT_S-Xlw,The Niche Fragrance Collector,@thenichefragrancecollector,136000,649,13,"MONEGAL Perfume Royalty!  Blind Smelling and Ranking - Flamenco, LoveReaction & Siesta; Intense, Polarising & Brutally Beautiful - 6 Fragrances To Excite your Collection; The BEST HeadTurner Fragrance? Blind Ranking - Wavechild - Vanilla Tana - La Cautiva",handle,high,ADD,13 video(s) in last 30 days,tier_2,YT-CREATOR-EXPANSION-01
Des Paons Dansent Cent Heures,UCRBWb9Svdk1W8O_W9xG6UhQ,Des Paons Dansent Cent Heures - Chaîne Parfums,@despaonsdansentcentheures,5030,156,1,ANTHONY ME FAIT DÉCOUVRIR 5 PARFUMS À L'AVEUGLE ☺️🤣,search,high,ADD,1 video(s) in last 30 days,tier_4,YT-CREATOR-EXPANSION-01
Scent Land (Chris),UCWeGpVuNISwxbVUcLLIoZdw,Scent Land,@scentland4753,11900,760,3,Severo by Jacques Zolty (2019) fragrance review; Acqua di Gio Parfum (2023) fragrance review; Armani Eau de Cedre (2015) fragrance review,search,high,SKIP_DUPLICATE,channel_id UCWeGpVuNISwxbVUcLLIoZdw already in youtube_channels,tier_3,YT-CREATOR-EXPANSION-01
Fragmental,,,,,,0,,search,low,NEEDS_OPERATOR_REVIEW,Could not resolve to a channel_id,tier_4,YT-CREATOR-EXPANSION-01
Christopher Lee Fragrances,UCPqWyyP8LhNaY-mD_RTtKrg,Christopher Lee Fragrances ,@christopherleefragrances,412000,2789,15,IF YOUR A MAN AND YOU LOVE SMELLING GOOD CLICK THIS VIDEO; The Best Summer Fragrances; Onna Reviewing Scent,handle,high,ADD,15 video(s) in last 30 days,tier_2,YT-CREATOR-EXPANSION-01
Soki London,UCtBpe765Fy-USxg_L8hGDPg,Soki London,@sokilondon,151000,1732,4,"I just dropped my ultimate fresh, fruity floral perfume - Eek! | Soki London Ophelia 🌸❤️; RANKING KAYALI EDEN PERFUMES | NEW PEACH vs PEAR vs JUICY APPLE vs LYCHEE | Soki London; RANKING KYLIE JENNER COSMIC PERFUMES | COSMIC vs INTENSE 2.0 vs ORIGINAL EAU DE PARFUM | Soki London",handle,high,ADD,4 video(s) in last 30 days,tier_2,YT-CREATOR-EXPANSION-01
The Perfume Guy (Sebastian),UCFarEEFsV90-pvUU0XdUdgQ,The Perfume Guy,@theperfumeguy,333000,3300,15,22 Niche Perfumes That Make the Best Mother's Day Gifts; Luxury Fragrance Deals Are INSANE Right Now (50-75% Off); 9 Lavender Perfumes BETTER Than You'd Expect,search,high,SKIP_DUPLICATE,channel_id UCFarEEFsV90-pvUU0XdUdgQ already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-01
Smelling Great Fragrance Reviews,,,,,,0,,search,low,NEEDS_OPERATOR_REVIEW,Could not resolve to a channel_id,tier_4,YT-CREATOR-EXPANSION-01
